,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,lat,lng,building,addr,postal,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
13,1,HOUGANG AVE 3,14,1974,Y,N,N,Y,N,N,HG,204,0,0,200,0,4,0,0,0,0,0,0,0,1.36413097349222,103.89300132385,NIL,1 HOUGANG AVENUE 3 SINGAPORE 530001,530001,2,KANGKAR,HGSZ02,HOUGANG,HG,NORTH-EAST REGION,NER
14,1,JLN KUKOH,17,1969,Y,N,Y,Y,N,N,CT,84,0,0,0,0,0,0,0,0,0,56,14,14,1.2882310152805,103.839934168065,HAWKER CENTRE (BLK 1 JALAN KUKOH),1 JALAN KUKOH HAWKER CENTRE (BLK 1 JALAN KUKOH) SINGAPORE 161001,161001,1,PEARL'S HILL,OTSZ01,OUTRAM,OT,CENTRAL REGION,CR
15,1,JLN BT MERAH,14,1974,Y,Y,N,N,N,N,BM,244,0,0,243,0,0,0,0,0,0,0,1,0,1.28644157642074,103.808286977232,OCBC JALAN BUKIT MERAH - FAIRPRICE,1 JALAN BUKIT MERAH OCBC JALAN BUKIT MERAH - FAIRPRICE SINGAPORE 150001,150001,7,ALEXANDRA HILL,BMSZ07,BUKIT MERAH,BM,CENTRAL REGION,CR
16,1,JOO CHIAT RD,5,1984,N,Y,N,N,N,N,GL,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31585905896007,103.898376166223,UOB JOO CHIAT COMPLEX,1 JOO CHIAT ROAD UOB JOO CHIAT COMPLEX SINGAPORE 420001,420001,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
17,1,KG KAYU RD,10,1963,Y,N,N,N,N,N,KWN,107,0,0,106,1,0,0,0,0,0,0,0,0,1.30355769675629,103.883796413118,DI TANJONG RHU,1 KAMPONG KAYU ROAD DI TANJONG RHU SINGAPORE 431001,431001,5,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
18,1,LOR LEW LIAN,14,1977,Y,N,N,Y,N,N,SGN,179,0,0,174,0,3,0,0,0,0,0,2,0,1.35086712646948,103.875343939672,NIL,1 LORONG LEW LIAN SINGAPORE 531001,531001,7,UPPER PAYA LEBAR,SGSZ07,SERANGOON,SG,NORTH-EAST REGION,NER
19,1,LOR 7 TOA PAYOH,11,1968,Y,N,N,N,N,N,TP,196,0,0,194,0,2,0,0,0,0,0,0,0,1.33943033543358,103.853442790992,KIM KEAT COURT,1 LORONG 7 TOA PAYOH KIM KEAT COURT SINGAPORE 310001,310001,5,LORONG 8 TOA PAYOH,TPSZ05,TOA PAYOH,TP,CENTRAL REGION,CR
20,1,MARINE TER,25,1974,Y,Y,N,N,N,N,MP,96,0,0,0,0,96,0,0,0,0,0,0,0,1.30482902187779,103.918614976369,MARINE TERRACE WALK,1 MARINE TERRACE MARINE TERRACE WALK SINGAPORE 440001,440001,3,MARINE PARADE,MPSZ03,MARINE PARADE,MP,CENTRAL REGION,CR
21,1,MARSILING DR,11,1973,Y,N,N,Y,N,N,WL,159,0,0,158,0,1,0,0,0,0,0,0,0,1.44067109860246,103.775739945213,MARSILING SPRING,1 MARSILING DRIVE MARSILING SPRING SINGAPORE 730001,730001,6,WOODLANDS WEST,WDSZ06,WOODLANDS,WD,NORTH REGION,NR
22,1,MAUDE RD,14,1970,Y,Y,N,Y,N,N,KWN,176,0,0,0,0,0,0,0,0,0,176,0,0,1.30754402298124,103.859019708551,D'JOY CHILDREN'S CENTRE,1 MAUDE ROAD D'JOY CHILDREN'S CENTRE SINGAPORE 200001,200001,6,LAVENDER,KLSZ06,KALLANG,KL,CENTRAL REGION,CR
23,1,PINE CL,19,1998,Y,N,N,N,N,N,GL,156,0,0,0,100,56,0,0,0,0,0,0,0,1.30787056219408,103.883192164927,NIL,1 PINE CLOSE SINGAPORE 390001,390001,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
24,1,QUEEN'S RD,23,1974,Y,N,N,N,N,N,BT,88,0,0,0,0,88,0,0,0,0,0,0,0,1.31726629524359,103.806782877524,FARRER GARDENS,1 QUEEN'S ROAD FARRER GARDENS SINGAPORE 260001,260001,8,FARRER COURT,BTSZ08,BUKIT TIMAH,BT,CENTRAL REGION,CR
25,1,ST. GEORGE'S RD,12,1975,Y,N,N,Y,N,N,KWN,154,0,0,0,154,0,0,0,0,0,0,0,0,1.32263933076595,103.861706374536,RESIDENCE @ ST GEORGE,1 SAINT GEORGE'S LANE RESIDENCE @ ST GEORGE SINGAPORE 328047,328047,1,BENDEMEER,KLSZ01,KALLANG,KL,CENTRAL REGION,CR
26,1,TAMPINES WALK,7,2016,N,N,N,Y,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35330030677679,103.940525443768,HDB TAMPINES BRANCH,1 TAMPINES WALK HDB TAMPINES BRANCH SINGAPORE 528523,528523,3,TAMPINES WEST,TMSZ03,TAMPINES,TM,EAST REGION,ER
27,1,TECK WHYE AVE,13,1983,Y,N,N,N,N,N,CCK,118,0,0,68,48,0,2,0,0,0,0,0,0,1.38253882861956,103.751710905678,TECK WHYE HEIGHTS I,1 TECK WHYE AVENUE TECK WHYE HEIGHTS I SINGAPORE 680001,680001,1,TECK WHYE,CKSZ01,CHOA CHU KANG,CK,WEST REGION,WR
28,1,TELOK BLANGAH CRES,16,1973,Y,Y,N,N,N,N,BM,148,0,0,146,0,2,0,0,0,0,0,0,0,1.27945660077329,103.817897561986,MOUNT FABER GREEN,1 TELOK BLANGAH CRESCENT MOUNT FABER GREEN SINGAPORE 090001,090001,14,TELOK BLANGAH WAY,BMSZ14,BUKIT MERAH,BM,CENTRAL REGION,CR
29,1,TG PAGAR PLAZA,24,1976,Y,Y,N,Y,N,N,CT,163,0,0,158,0,5,0,0,0,0,0,0,0,1.27624051973973,103.843006115698,OCBC TANJONG PAGAR PLAZA - 7 ELEVEN,1 TANJONG PAGAR PLAZA OCBC TANJONG PAGAR PLAZA - 7 ELEVEN SINGAPORE 082001,082001,3,CHINATOWN,OTSZ03,OUTRAM,OT,CENTRAL REGION,CR
30,1,THOMSON RD,4,1977,Y,Y,N,N,N,N,KWN,8,0,0,0,0,0,0,0,0,0,0,8,0,1.33051031184912,103.837543691498,THOMSON POLICE COMPLEX,1 MOUNT PLEASANT ROAD THOMSON POLICE COMPLEX SINGAPORE 298333,298333,5,MOUNT PLEASANT,NVSZ05,NOVENA,NV,CENTRAL REGION,CR
31,1,TOH YI DR,13,1987,Y,N,N,Y,N,N,BT,132,0,0,0,72,60,0,0,0,0,0,0,0,1.33957175314186,103.774678246393,TOH YI GARDENS,1 TOH YI DRIVE TOH YI GARDENS SINGAPORE 591501,591501,1,ANAK BUKIT,BTSZ01,BUKIT TIMAH,BT,CENTRAL REGION,CR
32,1,UPP ALJUNIED LANE,1,2003,N,Y,Y,N,N,N,TP,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33495593074876,103.881581049872,DBS UPPER ALJUNIED LANE 1,1 UPPER ALJUNIED LINK DBS UPPER ALJUNIED LANE 1 SINGAPORE 367901,367901,12,JOO SENG,TPSZ12,TOA PAYOH,TP,CENTRAL REGION,CR
33,1,WOODLANDS IND PK E3,2,1994,N,N,N,Y,N,N,WL,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45481345453812,103.800069233274,HDB CENTRE OF BUILDING RESEARCH,1 WOODLANDS INDUSTRIAL PARK E3 HDB CENTRE OF BUILDING RESEARCH SINGAPORE 757780,757780,8,SENOKO WEST,WDSZ08,WOODLANDS,WD,NORTH REGION,NR
34,1A,C'WEALTH DR,1,2010,N,N,Y,N,N,N,QT,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29973071571151,103.797835538253,TANGLIN HALT FOOD CENTRE,1A COMMONWEALTH DRIVE TANGLIN HALT FOOD CENTRE SINGAPORE 141001,141001,4,TANGLIN HALT,QTSZ04,QUEENSTOWN,QT,CENTRAL REGION,CR
35,1A,CANTONMENT RD,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1.27784271048219,103.840965923691,THE PINNACLE@DUXTON,1A CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 085101,085101,3,CHINATOWN,OTSZ03,OUTRAM,OT,CENTRAL REGION,CR
36,1A,EUNOS CRES,2,1981,Y,Y,N,N,N,N,GL,2,0,0,0,0,0,0,0,0,0,0,2,0,1.32128818179926,103.902726296147,OCBC EUNOS CRESCENT - 7 ELEVEN,1A EUNOS CRESCENT OCBC EUNOS CRESCENT - 7 ELEVEN SINGAPORE 401001,401001,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
37,1A,EVERTON PK,1,2000,N,N,N,N,N,Y,BM,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27719057474477,103.840257670063,NIL,1A EVERTON PARK SINGAPORE 083001,083001,16,EVERTON PARK,BMSZ16,BUKIT MERAH,BM,CENTRAL REGION,CR
38,1A,TELOK PAKU RD,5,2015,N,N,N,N,Y,N,PRC,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38796658624186,103.988298872524,MULTI STOREY CAR PARK,1A TELOK PAKU ROAD MULTI STOREY CAR PARK SINGAPORE 498730,498730,1,CHANGI POINT,CHSZ01,CHANGI,CH,EAST REGION,ER
39,1A,TELOK BLANGAH CRES,1,2005,N,N,N,N,N,Y,BM,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27960681823771,103.817790528392,MOUNT FABER GREEN,1A TELOK BLANGAH CRESCENT MOUNT FABER GREEN SINGAPORE 091001,091001,14,TELOK BLANGAH WAY,BMSZ14,BUKIT MERAH,BM,CENTRAL REGION,CR
40,1A,THOMSON RD,1,1980,N,Y,N,N,N,N,KWN,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32574173430776,103.843034351562,BALESTIER HILL SHOPPING CENTRE,1A THOMSON ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 301001,301001,1,BALESTIER,NVSZ01,NOVENA,NV,CENTRAL REGION,CR
41,1A,TOH YI DR,4,1988,N,N,N,N,Y,N,BT,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33904480982037,103.774300403826,TOH YI DRIVE MULTI STOREY CARPARK,1A TOH YI DRIVE TOH YI DRIVE MULTI STOREY CARPARK SINGAPORE 591601,591601,1,ANAK BUKIT,BTSZ01,BUKIT TIMAH,BT,CENTRAL REGION,CR
42,1B,CANTONMENT RD,50,2009,Y,N,N,N,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1.27779940676005,103.841403430465,THE PINNACLE@DUXTON,1B CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 085201,085201,3,CHINATOWN,OTSZ03,OUTRAM,OT,CENTRAL REGION,CR
43,1C,CANTONMENT RD,50,2009,Y,N,N,N,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1.27744909387079,103.841666679651,THE PINNACLE@DUXTON,1C CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 085301,085301,3,CHINATOWN,OTSZ03,OUTRAM,OT,CENTRAL REGION,CR
44,1D,CANTONMENT RD,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1.27692024304713,103.841485788369,THE KIDZ ZONE PTE LTD,1D CANTONMENT ROAD THE KIDZ ZONE PTE LTD SINGAPORE 085401,085401,3,CHINATOWN,OTSZ03,OUTRAM,OT,CENTRAL REGION,CR
45,1E,CANTONMENT RD,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1.27662168427368,103.841156142262,PCF SPARKLETOTS PRESCHOOL @ TANJONG PAGAR-TIONG BAHRU BLK 1E (KN),1E CANTONMENT ROAD PCF SPARKLETOTS PRESCHOOL @ TANJONG PAGAR-TIONG BAHRU BLK 1E (KN) SINGAPORE 085501,085501,3,CHINATOWN,OTSZ03,OUTRAM,OT,CENTRAL REGION,CR
46,1F,CANTONMENT RD,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1.27598699469414,103.841191762017,THE PINNACLE@DUXTON,1F CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 085601,085601,3,CHINATOWN,OTSZ03,OUTRAM,OT,CENTRAL REGION,CR
47,1G,CANTONMENT RD,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1.27553229128302,103.841274606704,THE PINNACLE@DUXTON,1G CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 085701,085701,3,CHINATOWN,OTSZ03,OUTRAM,OT,CENTRAL REGION,CR
48,10,BENDEMEER RD,7,2016,N,N,N,N,Y,N,KWN,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31550993783628,103.860952982979,BENDEMEER LIGHT,10 BENDEMEER ROAD BENDEMEER LIGHT SINGAPORE 330010,330010,1,BENDEMEER,KLSZ01,KALLANG,KL,CENTRAL REGION,CR
49,10,CANTONMENT CL,5,2000,N,N,N,Y,Y,N,BM,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27456974280287,103.839212088396,MULTI STOREY CAR PARK,10 CANTONMENT CLOSE MULTI STOREY CAR PARK SINGAPORE 080010,080010,16,EVERTON PARK,BMSZ16,BUKIT MERAH,BM,CENTRAL REGION,CR
50,10,CHAI CHEE RD,15,1999,Y,Y,N,N,N,N,BD,84,0,0,0,56,28,0,0,0,0,0,0,0,1.32727572366021,103.924803599281,NIL,10 CHAI CHEE ROAD SINGAPORE 467010,467010,3,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
51,10,DAKOTA CRES,7,1958,Y,N,N,Y,N,N,GL,53,0,0,0,0,0,0,0,0,0,0,53,0,1.30634114614887,103.884458183612,NIL,10 DAKOTA CRESCENT SINGAPORE 390010,390010,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
52,10,EUNOS CRES,16,1977,Y,N,N,Y,N,N,GL,180,0,0,0,180,0,0,0,0,0,0,0,0,1.32228655863065,103.902720513959,NIL,10 EUNOS CRESCENT SINGAPORE 400010,400010,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
53,10,GLOUCESTER RD,14,1976,Y,N,N,Y,N,N,KWN,207,0,0,180,26,1,0,0,0,0,0,0,0,1.31391659570533,103.852209774907,PCF SPARKLETOTS PRESCHOOL @ MOULMEIN-CAIRNHILL 10 (DS),10 GLOUCESTER ROAD PCF SPARKLETOTS PRESCHOOL @ MOULMEIN-CAIRNHILL 10 (DS) SINGAPORE 210010,210010,7,KAMPONG JAVA,KLSZ07,KALLANG,KL,CENTRAL REGION,CR
54,10,HAIG RD,13,1976,Y,Y,N,N,N,N,GL,133,0,0,133,0,0,0,0,0,0,0,0,0,1.3148464110566,103.895864993673,DBS HAIG ROAD,10 HAIG ROAD DBS HAIG ROAD SINGAPORE 430010,430010,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
55,10,HOLLAND AVE,14,1973,Y,N,N,N,N,N,QT,101,0,0,0,101,0,0,0,0,0,0,0,0,1.30814997104791,103.794275184926,HOLLAND VISTA,10 HOLLAND AVENUE HOLLAND VISTA SINGAPORE 271010,271010,2,HOLLAND DRIVE,QTSZ02,QUEENSTOWN,QT,CENTRAL REGION,CR
56,10,JLN BT HO SWEE,10,1962,Y,N,N,N,N,N,BM,120,0,50,0,0,0,0,0,0,0,70,0,0,1.28745837020188,103.832675765986,BUKIT HO SWEE VIEW,10 JALAN BUKIT HO SWEE BUKIT HO SWEE VIEW SINGAPORE 161010,161010,9,BUKIT HO SWEE,BMSZ09,BUKIT MERAH,BM,CENTRAL REGION,CR
57,10,JLN RUMAH TINGGI,4,1986,Y,N,N,N,N,N,BM,28,0,0,20,8,0,0,0,0,0,0,0,0,1.28820018880462,103.808369387433,RUMAH TINGGI VIEW,10 JALAN RUMAH TINGGI RUMAH TINGGI VIEW SINGAPORE 150010,150010,7,ALEXANDRA HILL,BMSZ07,BUKIT MERAH,BM,CENTRAL REGION,CR
58,10,JLN BATU,12,1966,Y,N,N,Y,N,N,KWN,132,0,0,0,8,97,27,0,0,0,0,0,0,1.30204488252463,103.882887148325,DI TANJONG RHU,10 JALAN BATU DI TANJONG RHU SINGAPORE 431010,431010,5,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
59,10,JLN KUKOH,12,1970,Y,Y,N,Y,N,N,CT,92,0,72,16,4,0,0,0,0,0,0,0,0,1.2869738344398,103.839075823483,CHIN SWEE VIEW,10 JALAN KUKOH CHIN SWEE VIEW SINGAPORE 162010,162010,1,PEARL'S HILL,OTSZ01,OUTRAM,OT,CENTRAL REGION,CR
60,10,JOO SENG RD,20,1982,Y,N,N,N,N,N,TP,76,0,0,0,0,76,0,0,0,0,0,0,0,1.33461833377097,103.88016502252,NIL,10 JOO SENG ROAD SINGAPORE 360010,360010,12,JOO SENG,TPSZ12,TOA PAYOH,TP,CENTRAL REGION,CR
61,10,LOR 7 TOA PAYOH,25,1997,Y,N,N,N,N,N,TP,96,0,0,0,68,28,0,0,0,0,0,0,0,1.33716527577081,103.857228807914,TOA PAYOH COURT,10 LORONG 7 TOA PAYOH TOA PAYOH COURT SINGAPORE 310010,310010,6,PEI CHUN,TPSZ06,TOA PAYOH,TP,CENTRAL REGION,CR
62,10,MARSILING DR,22,1975,Y,Y,N,N,N,N,WL,84,0,0,0,0,84,0,0,0,0,0,0,0,1.44080567418718,103.777318569996,MARSILING GARDENS,10 MARSILING DRIVE MARSILING GARDENS SINGAPORE 730010,730010,6,WOODLANDS WEST,WDSZ06,WOODLANDS,WD,NORTH REGION,NR
63,10,NTH BRIDGE RD,16,1973,Y,Y,N,N,N,N,KWN,224,0,0,0,0,0,0,0,0,224,0,0,0,1.3055523404779,103.863562821016,NIL,10 NORTH BRIDGE ROAD SINGAPORE 190010,190010,9,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
64,10,PINE CL,13,1981,Y,N,N,N,N,N,GL,120,0,0,72,48,0,0,0,0,0,0,0,0,1.30915239429834,103.882242524292,NIL,10 PINE CLOSE SINGAPORE 391010,391010,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
65,10,SELEGIE RD,10,1963,Y,Y,N,N,N,N,CT,48,0,0,48,0,0,0,0,0,0,0,0,0,1.30370879401395,103.850537238747,SELEGIE HOUSE,10 SELEGIE ROAD SELEGIE HOUSE SINGAPORE 180010,180010,9,BENCOOLEN,RCSZ09,ROCHOR,RC,CENTRAL REGION,CR
66,10,ST. GEORGE'S RD,4,1984,Y,N,N,N,N,N,KWN,12,0,0,0,12,0,0,0,0,0,0,0,0,1.32374648815059,103.863412150847,SAINT GEORGE'S EAST GARDENS,10 SAINT GEORGE'S ROAD SAINT GEORGE'S EAST GARDENS SINGAPORE 320010,320010,1,BENDEMEER,KLSZ01,KALLANG,KL,CENTRAL REGION,CR
67,10,TECK WHYE AVE,12,1977,Y,N,N,Y,N,N,CCK,153,0,0,130,22,0,1,0,0,0,0,0,0,1.38047054647235,103.755211077169,PCF SPARKLETOTS PRESCHOOL @ CHUA CHU KANG BLK 10 (KN),10 TECK WHYE AVENUE PCF SPARKLETOTS PRESCHOOL @ CHUA CHU KANG BLK 10 (KN) SINGAPORE 680010,680010,1,TECK WHYE,CKSZ01,CHOA CHU KANG,CK,WEST REGION,WR
68,10,TELOK BLANGAH CRES,10,1974,Y,Y,N,N,N,N,BM,66,0,0,65,0,1,0,0,0,0,0,0,0,1.27773153190559,103.819769431353,NIL,10 TELOK BLANGAH CRESCENT SINGAPORE 090010,090010,14,TELOK BLANGAH WAY,BMSZ14,BUKIT MERAH,BM,CENTRAL REGION,CR
69,10,TOH YI DR,7,1988,Y,N,N,N,N,N,BT,36,0,0,0,0,0,36,0,0,0,0,0,0,1.33753956576433,103.773161066389,TOH YI GARDENS,10 TOH YI DRIVE TOH YI GARDENS SINGAPORE 590010,590010,1,ANAK BUKIT,BTSZ01,BUKIT TIMAH,BT,CENTRAL REGION,CR
70,10,WOODLANDS AVE 8,4,2000,N,N,N,Y,N,N,WL,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45428714079221,103.800262079753,HDB CENTRE OF BUILDING RESEARCH,10 WOODLANDS AVENUE 8 HDB CENTRE OF BUILDING RESEARCH SINGAPORE 738973,738973,8,SENOKO WEST,WDSZ08,WOODLANDS,WD,NORTH REGION,NR
71,10A,BEDOK STH AVE 2,5,1992,N,N,N,N,Y,N,BD,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32258561622604,103.936849426204,NIL,10A BEDOK SOUTH AVENUE 2 SINGAPORE 460010,460010,6,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
72,10A,BENDEMEER RD,40,2016,Y,N,N,N,N,N,KWN,220,0,0,71,149,0,0,0,0,0,0,0,0,1.31499138887312,103.86050538635,BENDEMEER LIGHT,10A BENDEMEER ROAD BENDEMEER LIGHT SINGAPORE 331010,331010,1,BENDEMEER,KLSZ01,KALLANG,KL,CENTRAL REGION,CR
73,10A,BOON TIONG RD,40,2014,Y,N,N,Y,N,N,BM,228,0,0,76,152,0,0,0,0,0,0,0,0,1.28635847107695,103.82962615571,TIONG BAHRU VIEW,10A BOON TIONG ROAD TIONG BAHRU VIEW SINGAPORE 160010,160010,10,TIONG BAHRU,BMSZ10,BUKIT MERAH,BM,CENTRAL REGION,CR
74,10A,CHAI CHEE RD,1,1999,N,N,N,N,N,Y,BD,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32710364303997,103.924921271502,NIL,10A CHAI CHEE ROAD SINGAPORE 469010,469010,3,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
75,10A,HOLLAND DR,6,1997,N,N,N,N,Y,N,QT,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30840447057738,103.793697481916,MULTI STOREY CAR PARK,10A HOLLAND DRIVE MULTI STOREY CAR PARK SINGAPORE 272010,272010,2,HOLLAND DRIVE,QTSZ02,QUEENSTOWN,QT,CENTRAL REGION,CR
76,10A,JLN KUKOH,1,1999,N,N,N,N,N,Y,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28683793317038,103.838674084243,NIL,10A JALAN KUKOH SINGAPORE 163010,163010,1,PEARL'S HILL,OTSZ01,OUTRAM,OT,CENTRAL REGION,CR
